id,dut,categories,test,description,inputs,result,messages
159,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan4093 - MLAG_L3 = 'up',PASS,
160,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan4094 - MLAG = 'up',PASS,
161,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vxlan1 = 'up',PASS,
162,dc1-leaf2a,MLAG,VerifyMlagStatus,Verifies the health status of the MLAG configuration.,,PASS,
163,dc1-leaf2a,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
164,dc1-leaf2a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.1 - Peer: dc1-spine1,PASS,
165,dc1-leaf2a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.2 - Peer: dc1-spine2,PASS,
166,dc1-leaf2a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.3 - Peer: dc1-spine3,PASS,
167,dc1-leaf2a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.4 - Peer: dc1-leaf1a,PASS,
168,dc1-leaf2a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.5 - Peer: dc1-leaf1b,PASS,
169,dc1-leaf2a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.6 - Peer: dc1-leaf2a,PASS,
170,dc1-leaf2a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.7 - Peer: dc1-leaf2b,PASS,
171,dc1-leaf2a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.1.4 - Peer: dc1-leaf1a,PASS,
172,dc1-leaf2a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.1.6 - Peer: dc1-leaf2a,PASS,
173,dc1-leaf2a,System,VerifyNTP,Verifies if NTP is synchronised.,,PASS,
174,dc1-leaf2a,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
175,dc1-leaf2b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: dc1-spine1 (IP: 10.255.0.1),PASS,
176,dc1-leaf2b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: dc1-spine2 (IP: 10.255.0.2),PASS,
177,dc1-leaf2b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: dc1-spine3 (IP: 10.255.0.3),PASS,
178,dc1-leaf2b,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet1 - Remote: dc1-spine1 Ethernet4,PASS,
179,dc1-leaf2b,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet2 - Remote: dc1-spine2 Ethernet4,PASS,
180,dc1-leaf2b,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet3 - Remote: dc1-spine3 Ethernet4,PASS,
181,dc1-leaf2b,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet4 - Remote: dc1-leaf2a Ethernet4,PASS,
182,dc1-leaf2b,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet8 - Remote: dc1-leaf2c Ethernet2,PASS,
183,dc1-leaf2b,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.7) - Destination: dc1-leaf1a Loopback0 (IP: 10.255.0.4),PASS,
184,dc1-leaf2b,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.7) - Destination: dc1-leaf1b Loopback0 (IP: 10.255.0.5),PASS,
185,dc1-leaf2b,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.7) - Destination: dc1-leaf2a Loopback0 (IP: 10.255.0.6),PASS,
186,dc1-leaf2b,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.7) - Destination: dc1-leaf2b Loopback0 (IP: 10.255.0.7),PASS,
187,dc1-leaf2b,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.7) - Destination: dc1-spine1 Loopback0 (IP: 10.255.0.1),PASS,
188,dc1-leaf2b,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.7) - Destination: dc1-spine2 Loopback0 (IP: 10.255.0.2),PASS,
189,dc1-leaf2b,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.7) - Destination: dc1-spine3 Loopback0 (IP: 10.255.0.3),PASS,
190,dc1-leaf2b,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on cEOSLab.
191,dc1-leaf2b,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on cEOSLab.
192,dc1-leaf2b,Hardware,VerifyTemperature,Verifies the device temperature.,,SKIPPED,VerifyTemperature test is not supported on cEOSLab.
193,dc1-leaf2b,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on cEOSLab.
194,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet1 - P2P_dc1-spine1_Ethernet4 = 'up',PASS,
195,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet2 - P2P_dc1-spine2_Ethernet4 = 'up',PASS,
196,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet3 - P2P_dc1-spine3_Ethernet4 = 'up',PASS,
197,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet4 - MLAG_dc1-leaf2a_Ethernet4 = 'up',PASS,
198,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet5 - SERVER_dc1-leaf2-server1_PCI2 = 'up',FAIL,The following interface(s) are not configured: ['Ethernet5']
199,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet8 - L2_dc1-leaf2c_Ethernet2 = 'up',PASS,
200,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
201,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback1 - VXLAN_TUNNEL_SOURCE = 'up',PASS,
202,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback10 - DIAG_VRF_VRF10 = 'up',PASS,
203,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback11 - DIAG_VRF_VRF11 = 'up',PASS,
204,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel4 - MLAG_dc1-leaf2a_Port-Channel4 = 'up',PASS,
205,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel5 - SERVER_dc1-leaf2-server1 = 'up',FAIL,The following interface(s) are not in the expected state: ['Port-Channel5 is down/lowerLayerDown']
206,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel8 - L2_dc1-leaf2c_Port-Channel1 = 'up',PASS,
207,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan11 - VRF10_VLAN11 = 'up',PASS,
208,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan12 - VRF10_VLAN12 = 'up',PASS,
209,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan21 - VRF11_VLAN21 = 'up',PASS,
210,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan22 - VRF11_VLAN22 = 'up',PASS,
211,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan3009 - MLAG_L3_VRF_VRF10 = 'up',PASS,
212,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan3010 - MLAG_L3_VRF_VRF11 = 'up',PASS,
213,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan4093 - MLAG_L3 = 'up',PASS,
214,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan4094 - MLAG = 'up',PASS,
215,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vxlan1 = 'up',PASS,
216,dc1-leaf2b,MLAG,VerifyMlagStatus,Verifies the health status of the MLAG configuration.,,PASS,
217,dc1-leaf2b,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
218,dc1-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.1 - Peer: dc1-spine1,PASS,
219,dc1-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.2 - Peer: dc1-spine2,PASS,
220,dc1-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.3 - Peer: dc1-spine3,PASS,
221,dc1-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.4 - Peer: dc1-leaf1a,PASS,
222,dc1-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.5 - Peer: dc1-leaf1b,PASS,
223,dc1-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.6 - Peer: dc1-leaf2a,PASS,
224,dc1-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.7 - Peer: dc1-leaf2b,PASS,
225,dc1-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.1.4 - Peer: dc1-leaf1a,PASS,
226,dc1-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.1.6 - Peer: dc1-leaf2a,PASS,
227,dc1-leaf2b,System,VerifyNTP,Verifies if NTP is synchronised.,,PASS,
228,dc1-leaf2b,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
229,dc1-leaf2c,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet1 - Remote: dc1-leaf2a Ethernet8,PASS,
230,dc1-leaf2c,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet2 - Remote: dc1-leaf2b Ethernet8,PASS,
231,dc1-leaf2c,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on cEOSLab.
232,dc1-leaf2c,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on cEOSLab.
233,dc1-leaf2c,Hardware,VerifyTemperature,Verifies the device temperature.,,SKIPPED,VerifyTemperature test is not supported on cEOSLab.
234,dc1-leaf2c,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on cEOSLab.
235,dc1-leaf2c,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet1 - L2_dc1-leaf2a_Ethernet8 = 'up',PASS,
236,dc1-leaf2c,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet2 - L2_dc1-leaf2b_Ethernet8 = 'up',PASS,
237,dc1-leaf2c,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet5 - SERVER_dc1-leaf2-server1_iLO = 'up',FAIL,The following interface(s) are not configured: ['Ethernet5']
238,dc1-leaf2c,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel1 - L2_DC1_L3_LEAF2_Port-Channel8 = 'up',PASS,
239,dc1-leaf2c,System,VerifyNTP,Verifies if NTP is synchronised.,,PASS,
240,dc1-leaf2c,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
241,dc1-spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: dc1-leaf1a (IP: 10.255.0.4),PASS,
242,dc1-spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: dc1-leaf1b (IP: 10.255.0.5),PASS,
243,dc1-spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: dc1-leaf2a (IP: 10.255.0.6),PASS,
244,dc1-spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: dc1-leaf2b (IP: 10.255.0.7),PASS,
245,dc1-spine1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet1 - Remote: dc1-leaf1a Ethernet1,PASS,
246,dc1-spine1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet2 - Remote: dc1-leaf1b Ethernet1,PASS,
247,dc1-spine1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet3 - Remote: dc1-leaf2a Ethernet1,PASS,
248,dc1-spine1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet4 - Remote: dc1-leaf2b Ethernet1,PASS,
249,dc1-spine1,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on cEOSLab.
250,dc1-spine1,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on cEOSLab.
251,dc1-spine1,Hardware,VerifyTemperature,Verifies the device temperature.,,SKIPPED,VerifyTemperature test is not supported on cEOSLab.
252,dc1-spine1,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on cEOSLab.
253,dc1-spine1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet1 - P2P_dc1-leaf1a_Ethernet1 = 'up',PASS,
254,dc1-spine1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet2 - P2P_dc1-leaf1b_Ethernet1 = 'up',PASS,
255,dc1-spine1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet3 - P2P_dc1-leaf2a_Ethernet1 = 'up',PASS,
256,dc1-spine1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet4 - P2P_dc1-leaf2b_Ethernet1 = 'up',PASS,
257,dc1-spine1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
258,dc1-spine1,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
259,dc1-spine1,System,VerifyNTP,Verifies if NTP is synchronised.,,PASS,
260,dc1-spine1,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
261,dc1-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: dc1-leaf1a (IP: 10.255.0.4),PASS,
262,dc1-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: dc1-leaf1b (IP: 10.255.0.5),PASS,
263,dc1-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: dc1-leaf2a (IP: 10.255.0.6),PASS,
264,dc1-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: dc1-leaf2b (IP: 10.255.0.7),PASS,
265,dc1-spine2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet1 - Remote: dc1-leaf1a Ethernet2,PASS,
266,dc1-spine2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet2 - Remote: dc1-leaf1b Ethernet2,PASS,
267,dc1-spine2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet3 - Remote: dc1-leaf2a Ethernet2,PASS,
268,dc1-spine2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet4 - Remote: dc1-leaf2b Ethernet2,PASS,
269,dc1-spine2,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on cEOSLab.
270,dc1-spine2,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on cEOSLab.
271,dc1-spine2,Hardware,VerifyTemperature,Verifies the device temperature.,,SKIPPED,VerifyTemperature test is not supported on cEOSLab.
272,dc1-spine2,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on cEOSLab.
273,dc1-spine2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet1 - P2P_dc1-leaf1a_Ethernet2 = 'up',PASS,
274,dc1-spine2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet2 - P2P_dc1-leaf1b_Ethernet2 = 'up',PASS,
275,dc1-spine2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet3 - P2P_dc1-leaf2a_Ethernet2 = 'up',PASS,
276,dc1-spine2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet4 - P2P_dc1-leaf2b_Ethernet2 = 'up',PASS,
277,dc1-spine2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
278,dc1-spine2,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
279,dc1-spine2,System,VerifyNTP,Verifies if NTP is synchronised.,,PASS,
280,dc1-spine2,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
281,dc1-spine3,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: dc1-leaf1a (IP: 10.255.0.4),PASS,
282,dc1-spine3,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: dc1-leaf1b (IP: 10.255.0.5),PASS,
283,dc1-spine3,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: dc1-leaf2a (IP: 10.255.0.6),PASS,
284,dc1-spine3,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: dc1-leaf2b (IP: 10.255.0.7),PASS,
285,dc1-spine3,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet1 - Remote: dc1-leaf1a Ethernet3,PASS,
286,dc1-spine3,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet2 - Remote: dc1-leaf1b Ethernet3,PASS,
287,dc1-spine3,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet3 - Remote: dc1-leaf2a Ethernet3,PASS,
288,dc1-spine3,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet4 - Remote: dc1-leaf2b Ethernet3,PASS,
289,dc1-spine3,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on cEOSLab.
290,dc1-spine3,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on cEOSLab.
291,dc1-spine3,Hardware,VerifyTemperature,Verifies the device temperature.,,SKIPPED,VerifyTemperature test is not supported on cEOSLab.
292,dc1-spine3,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on cEOSLab.
293,dc1-spine3,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet1 - P2P_dc1-leaf1a_Ethernet3 = 'up',PASS,
294,dc1-spine3,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet2 - P2P_dc1-leaf1b_Ethernet3 = 'up',PASS,
295,dc1-spine3,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet3 - P2P_dc1-leaf2a_Ethernet3 = 'up',PASS,
296,dc1-spine3,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet4 - P2P_dc1-leaf2b_Ethernet3 = 'up',PASS,
297,dc1-spine3,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
298,dc1-spine3,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
299,dc1-spine3,System,VerifyNTP,Verifies if NTP is synchronised.,,PASS,
300,dc1-spine3,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
